time,close,high,low,open,volumebtc,volume,date
1561932000,10927.55,11264.96,10828.94,11251.06,86.79,953132.59,2019-06-30
1561935600,10756.29,10991.05,10666.68,10927.55,87.21,944322.68,2019-06-30
1561939200,11006.0,11006.0,10628.0,10756.29,97.76,1057963.08,2019-07-01
1561942800,10900.0,11087.12,10850.0,11006.0,113.06,1238234.35,2019-07-01
1561946400,11019.4,11057.77,10786.06,10900.0,26.46,288331.4,2019-07-01
1561950000,11108.0,11190.0,10981.2,11019.4,22.07,244790.62,2019-07-01
1561953600,11084.45,11123.68,11021.77,11108.0,12.59,139198.61,2019-07-01
1561957200,10978.51,11117.11,10877.71,11084.45,26.57,292164.71,2019-07-01
1561960800,10874.86,11045.93,10858.95,10978.51,32.83,359180.26,2019-07-01
1561964400,10885.41,10964.3,10781.97,10874.86,23.55,256086.66,2019-07-01
1561968000,11068.5,11070.0,10870.62,10885.41,27.15,298104.82,2019-07-01
1561971600,11017.0,11105.6,11010.0,11068.5,12.95,143142.33,2019-07-01
1561975200,10888.78,11057.5,10822.0,11017.0,9.635,105115.71,2019-07-01
1561978800,10960.43,10970.09,10865.62,10888.78,12.88,140460.78,2019-07-01
1561982400,10600.57,10970.09,10483.58,10960.43,128.19,1359254.09,2019-07-01
1561986000,10531.52,10680.0,10527.57,10600.57,40.27,427133.61,2019-07-01
1561989600,10184.86,10600.52,10166.7,10531.52,137.19,1428629.3,2019-07-01
1561993200,10335.0,10335.0,9970.75,10184.86,212.89,2158658.96,2019-07-01
1561996800,10264.33,10421.03,10235.56,10335.0,75.6,782510.09,2019-07-01
1562000400,10238.62,10359.3,10142.9,10264.33,104.41,1066033.4,2019-07-01
1562004000,10275.68,10304.69,10172.01,10238.62,27.1,277677.78,2019-07-01
1562007600,10182.82,10275.68,9975.0,10275.68,147.49,1488670.78,2019-07-01
1562011200,10490.0,10765.0,10182.82,10182.82,187.52,1948047.83,2019-07-01
1562014800,10563.34,10608.13,10440.96,10490.0,34.26,360523.19,2019-07-01
1562018400,10450.8,10563.34,10415.46,10563.34,45.55,477496.06,2019-07-01
1562022000,10571.36,10649.54,10450.8,10450.8,29.63,313109.55,2019-07-01
1562025600,10347.5,10666.34,10347.5,10571.36,57.0,599572.82,2019-07-02
1562029200,10220.3,10377.0,10169.21,10347.5,38.29,394293.99,2019-07-02
1562032800,10241.24,10363.67,10209.2,10220.3,26.85,276694.7,2019-07-02
1562036400,10304.99,10311.9,10220.34,10241.24,33.37,343032.34,2019-07-02
1562040000,9910.41,10750.0,9783.92,10304.99,306.78,3057928.39,2019-07-02
1562043600,9784.81,9927.14,9736.5,9910.41,142.06,1393454.08,2019-07-02
1562047200,9772.61,9874.43,9710.0,9784.81,77.1,753534.05,2019-07-02
1562050800,9839.06,9885.62,9767.86,9772.61,31.55,310276.5,2019-07-02
1562054400,10172.5,10250.27,9794.96,9839.06,81.42,821278.24,2019-07-02
1562058000,10180.1,10298.33,10117.13,10172.5,33.12,338416.09,2019-07-02
1562061600,10019.49,10222.32,9998.49,10180.1,37.58,378936.27,2019-07-02
1562065200,9955.82,10190.44,9659.02,10019.49,111.17,1095245.21,2019-07-02
1562068800,10004.6,10138.52,9918.81,9955.82,37.01,371528.9,2019-07-02
1562072400,9913.87,10086.44,9851.0,10004.6,24.74,245633.08,2019-07-02
1562076000,10500.0,10500.0,9913.87,9913.87,178.17,1838271.66,2019-07-02
1562079600,10615.11,10624.0,10380.0,10500.0,110.02,1153788.58,2019-07-02
1562083200,10477.49,10615.11,10400.01,10615.11,72.26,758778.2,2019-07-02
1562086800,10721.23,10749.0,10477.49,10477.49,71.35,759627.47,2019-07-02
1562090400,10700.0,10728.0,10579.51,10721.23,37.85,403058.62,2019-07-02
1562094000,10771.01,10875.0,10684.0,10700.0,84.96,916835.44,2019-07-02
